name,,set,,set_code,,id,,type,,power,,toughness,,loyalty,,manacost,,converted_manacost,,artist,,flavor,,color,,generated_mana,,number,,rarity,,rating,,ruling,,variation,,ability,,pricing_low,,pricing_mid,,pricing_high,,watermark,,print_number,,is_original,,back_id,,number_int,,name_CN,,name_TW,,name_FR,,name_DE,,name_IT,,name_JP,,name_PT,,name_RU,,name_ES,,name_KO,,type_CN,,type_TW,,type_FR,,type_DE,,type_IT,,type_JP,,type_PT,,type_RU,,type_ES,,type_KO,,ability_CN,,ability_TW,,ability_FR,,ability_DE,,ability_IT,,ability_JP,,ability_PT,,ability_RU,,ability_ES,,ability_KO,,flavor_CN,,flavor_TW,,flavor_FR,,flavor_DE,,flavor_IT,,flavor_JP,,flavor_PT,,flavor_RU,,flavor_ES,,flavor_KO,,color_identity,,fully_handled,,custom_sort,,legality_Block,,legality_Standard,,legality_Modern,,legality_Legacy,,legality_Vintage,,legality_Highlander,,legality_French_Commander,,legality_Tiny_Leaders_Commander,,legality_Leviathan_Commander,,legality_Commander,,legality_Peasant,,legality_Pauper
Word of Binding,,Fourth Edition,,4E,,2139,,Sorcery,,,,,,,,{X}{B}{B},,2,,Ron Spencer,,"#_""That was the worst experience of my days: standing there helpless as they killed my whole troop.""£—Maeveen O'Donagh, Memoirs of a Soldier_#",,B,,,,56,,C,,3.29,,,,,,Tap X target creatures.,,,,,,,,,,,,,,,,56,,,,,,Mots d'entraves,,Wort der Fesselung,,Vincolo,,,,Palavras de Poder,,,,Palabras de poder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Wrath of God,,Fourth Edition,,4E,,2373,,Sorcery,,,,,,,,{2}{W}{W},,4,,Quinton Hoover,,,,W,,,,308,,R,,4.274,,,,,,Destroy all creatures. They can't be regenerated.,,,,,,,,,,,,,,,,308,,,,,,Colère de Dieu,,Zorn Gottes,,Ira di Dio,,,,Cólera de Deus,,,,Ira de Dios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Xenic Poltergeist,,Fourth Edition,,4E,,2140,,Creature — Spirit,,1,,1,,,,{1}{B}{B},,3,,Dan Frazier,,,,B,,,,57,,R,,3.786,,"£10/4/2004 : Wears off at the beginning of the upkeep, not during upkeep.£8/1/2008 : A noncreature permanent that turns into a creature can attack, and its {T} abilities can be activated, only if its controller has continuously controlled that permanent since the beginning of his or her most recent turn. It doesn’t matter how long the permanent has been a creature.",,,,"{T}: Until your next upkeep, target noncreature artifact becomes an artifact creature with power and toughness each equal to its converted mana cost.",,,,,,,,,,,,,,,,57,,,,,,Poltergeist xénique,,Xenischer Poltergeist,,Poltergeist di Xenic,,,,Poltergeist Xênico,,,,Poltergeist animista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Yotian Soldier,,Fourth Edition,,4E,,2083,,Artifact Creature — Soldier,,1,,4,,,,{3},,3,,Christopher Rush,,"#_After Kroog was destroyed while most of its defenders were at his side, Urza vowed that none of his allies would ever need to fear for their own defense again, even while laying siege to a city far from their homes._#",,A,,,,378,,C,,3.238,,,,,,Vigilance,,,,,,,,,,,,,,,,378,,,,,,Soldat yotien,,Yotischer Söldner,,Soldato di Yotian,,,,Soldado Yotiano,,,,Soldado yotiano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Zephyr Falcon,,Fourth Edition,,4E,,2199,,Creature — Bird,,1,,1,,,,{1}{U},,2,,Heather Hudson,,"#_Although greatly prized among falconers, the Zephyr Falcon is capricious and not easily tamed._#",,U,,,,116,,C,,2.857,,,,,,"Flying, vigilance",,,,,,,,,,,,,,,,116,,,,,,Faucon du zéphyr,,Westwindfalke,,Falco dello Zefiro,,,,Falcão do Zéfiro,,,,Halcón del céfiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Zombie Master,,Fourth Edition,,4E,,2141,,Creature — Zombie,,2,,3,,,,{1}{B}{B},,3,,Jeff A. Menges,,"#_They say the Zombie Master controlled these foul creatures even before his own death, but now that he is one of them, nothing can make them betray him._#",,B,,,,58,,R,,4.2,,,,,,"Other Zombie creatures have swampwalk. #_(They can't be blocked as long as defending player controls a Swamp.)_#£Other Zombies have ""{B}: Regenerate this permanent.""",,,,,,,,,,,,,,,,58,,,,,,Maître des zombies,,Zombiemeister,,Signore degli Zombi,,,,Mestre Zumbi,,,,Señor de los Zombies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest,,Fourth Edition,,4E,,2378,,Basic Land — Forest,,,,,,,,,,0,,Christopher Rush,,,,L,,{G},,176,,C,,4.25,,,,2,,{G},,,,,,,,,,,,,,,,176,,,,,,Forêt,,Wald,,Foresta,,,,Floresta,,,,Bosque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest,,Fourth Edition,,4E,,2377,,Basic Land — Forest,,,,,,,,,,0,,Christopher Rush,,,,L,,{G},,177,,C,,4.25,,,,3,,{G},,,,,,,,,,,,,,,,177,,,,,,Forêt,,Wald,,Foresta,,,,Floresta,,,,Bosque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Island,,Fourth Edition,,4E,,2389,,Basic Land — Island,,,,,,,,,,0,,Mark Poole,,,,L,,{U},,179,,C,,4.026,,,,2,,{U},,,,,,,,,,,,,,,,179,,,,,,Ile,,Insel,,Isola,,,,Ilha,,,,Isla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Island,,Fourth Edition,,4E,,2390,,Basic Land — Island,,,,,,,,,,0,,Mark Poole,,,,L,,{U},,180,,C,,4.026,,,,3,,{U},,,,,,,,,,,,,,,,180,,,,,,Ile,,Insel,,Isola,,,,Ilha,,,,Isla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain,,Fourth Edition,,4E,,2382,,Basic Land — Mountain,,,,,,,,,,0,,Douglas Shuler,,,,L,,{R},,183,,C,,4.46,,,,2,,{R},,,,,,,,,,,,,,,,183,,,,,,Montagne,,Gebirge,,Montagna,,,,Montanha,,,,Montaña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain,,Fourth Edition,,4E,,2381,,Basic Land — Mountain,,,,,,,,,,0,,Douglas Shuler,,,,L,,{R},,184,,C,,4.46,,,,3,,{R},,,,,,,,,,,,,,,,184,,,,,,Montagne,,Gebirge,,Montagna,,,,Montanha,,,,Montaña,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Plains,,Fourth Edition,,4E,,2384,,Basic Land — Plains,,,,,,,,,,0,,Jesper Myrfors,,,,L,,{W},,186,,C,,4.672,,,,1,,{W},,,,,,,,,,,,,,,,186,,,,,,Plaine,,Ebene,,Pianura,,,,Planície,,,,Llanura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Plains,,Fourth Edition,,4E,,2385,,Basic Land — Plains,,,,,,,,,,0,,Jesper Myrfors,,,,L,,{W},,188,,C,,4.672,,,,3,,{W},,,,,,,,,,,,,,,,188,,,,,,Plaine,,Ebene,,Pianura,,,,Planície,,,,Llanura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Swamp,,Fourth Edition,,4E,,2375,,Basic Land — Swamp,,,,,,,,,,0,,Dan Frazier,,,,L,,{B},,190,,C,,4.58,,,,1,,{B},,,,,,,,,,,,,,,,190,,,,,,Marais,,Sumpf,,Palude,,,,Pântano,,,,Pantano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Swamp,,Fourth Edition,,4E,,2374,,Basic Land — Swamp,,,,,,,,,,0,,Dan Frazier,,,,L,,{B},,192,,C,,4.58,,,,3,,{B},,,,,,,,,,,,,,,,192,,,,,,Marais,,Sumpf,,Palude,,,,Pântano,,,,Pantano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Acidic Slime,,Magic 2010,,M10,,189880,,Creature — Ooze,,2,,2,,,,{3}{G}{G},,5,,Karl Kopinski,,,,G,,,,165,,U,,3.835,,,,,,"Deathtouch #_(Any amount of damage this deals to a creature is enough to destroy it.)_#£When Acidic Slime enters the battlefield, destroy target artifact, enchantment, or land.",,,,,,,,,,,,,,,,165,,????,,,,Boue acide,,Ätzender Schleim,,Melma Acida,,??????,,Limo Ácido,,????????? ?????,,Fango ácido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Acolyte of Xathrid,,Magic 2010,,M10,,190579,,Creature — Human Cleric,,0,,1,,,,{B},,1,,Chris Rahn,,"#_Like all priests, she gives her blessings only to those truly worthy of them._#",,B,,,,83,,C,,1.256,,,,,,"{1}{B}, {T}: Target player loses 1 life.",,,,,,,,,,,,,,,,83,,?????,,,,Acolyte de Xathrid,,Xathrids Tempeldienerin,,Accolita di Xathrid,,??????????,,Acólito de Xathrid,,????????????? ???????,,Acólita de Xathrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Act of Treason,,Magic 2010,,M10,,191082,,Sorcery,,,,,,,,{2}{R},,3,,Eric Deschamps,,"#_""Rage courses in every heart, yearning to betray its rational prison.""£—Sarkhan Vol_#",,R,,,,124,,U,,3.691,,"£10/1/2009 : Act of Treason can target any creature, even one that’s untapped or one you already control.£8/15/2010 : Gaining control of a creature doesn’t cause you to gain control of any Auras or Equipment attached to it.£7/1/2013 : If you control a legendary creature and gain control of another legendary creature with the same name, you’ll choose one to remain on the battlefield and put the other into its owner’s graveyard.",,,,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. #_(It can attack and {T} this turn.)_#,,,,,,,,,,,,,,,,124,,??,,,,Acte de trahison,,Verräterische Tat,,Atto di Tradimento,,?????,,Ato de Traição,,??? ??????,,Acto de traición,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Elemental,,Magic 2010,,M10,,189884,,Creature — Elemental,,4,,4,,,,{3}{U}{U},,5,,Kev Walker,,"#_""The East Wind, an interloper in the dominions of Westerly Weather, is an impassive-faced tyrant with a sharp poniard held behind his back for a treacherous stab.""£—Joseph Conrad, The Mirror of the Sea_#",,U,,,,42,,U,,3.355,,,,,,Flying,,,,,,,,,,,,,,,,42,,????,,,,Élémental d'air,,Luftelementar,,Elementale dell'Aria,,?????,,Elemental do Ar,,?????????? ???????,,Elemental de aire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajani Goldmane,,Magic 2010,,M10,,191239,,Planeswalker — Ajani,,,,,,4,,{2}{W}{W},,4,,Aleksi Briclot,,,,W,,,,1,,M,,3.801,,£10/1/2007 : The vigilance granted to a creature by the second ability remains until the end of the turn even if the +1/+1 counter is removed.£10/1/2007 : The power and toughness of the Avatar created by the third ability will change as your life total changes.,,,,"+1: You gain 2 life.£?1: Put a +1/+1 counter on each creature you control. Those creatures gain vigilance until end of turn.£?6: Create a white Avatar creature token. It has ""This creature's power and toughness are each equal to your life total.""",,,,,,,,,,,,,,,,1,,?????,,,,Ajani Crinièredor,,Ajani Goldmähne,,Ajani Criniera D'Oro,,????????????,,Ajani Juba D'ouro,,??????????? ??????,,Ajani Melena Dorada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Alluring Siren,,Magic 2010,,M10,,189894,,Creature — Siren,,1,,1,,,,{1}{U},,2,,Chippy,,"#_""The ground polluted floats with human gore,£And human carnage taints the dreadful shore£Fly swift the dangerous coast: let every ear£Be stopp'd against the song! 'tis death to hear!""£—Homer, The Odyssey, trans. Pope_#",,U,,,,43,,U,,3.394,,"£10/1/2009 : After the ability resolves, the targeted creature attacks you only if it’s able to do so as that turn’s declare attackers step begins. If, at that time, the creature is tapped, is affected by a spell or ability that says it can’t attack, or is affected by “summoning sickness,” it can’t attack. If there’s a cost associated with having that creature attack, its controller isn’t forced to pay that cost, so the creature doesn’t have to attack in that case either.£10/1/2009 : If the targeted creature would be able to attack either you or a planeswalker you control, it must attack you, not the planeswalker.£10/1/2009 : Activating the ability during your opponent’s turn after attackers have been declared will have no effect. The same is true if you activate the ability during your own turn.£9/22/2011 : If there are multiple combat phases in a turn, the creature must attack only in the first one in which it’s able to.",,,,{T}: Target creature an opponent controls attacks you this turn if able.,,,,,,,,,,,,,,,,43,,????,,,,Sirène attirante,,Betörende Sirene,,Sirena Seducente,,?????????,,Sirena Sedutora,,???????????? ??????,,Sirena tentadora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel's Feather,,Magic 2010,,M10,,191245,,Artifact,,,,,,,,{2},,2,,Alan Pollack,,"#_If taken, it cuts the hand that clutches it. If given, it heals the hand that holds it._#",,A,,,,206,,U,,2.378,,"£10/1/2009 : The ability triggers whenever any player, not just you, casts a white spell.£10/1/2009 : If a player casts a white spell, Angel’s Feather’s ability triggers and is put on the stack on top of that spell. Angel’s Feather’s ability will resolve (causing you to gain 1 life) before the spell does.",,,,"Whenever a player casts a white spell, you may gain 1 life.",,,,,,,,,,,,,,,,206,,????,,,,Plume d'ange,,Engelsfeder,,Piuma d'Angelo,,?????,,Pluma de Anjo,,???? ??????,,Pluma de ángel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel's Mercy,,Magic 2010,,M10,,190549,,Instant,,,,,,,,{2}{W}{W},,4,,Andrew Robinson,,"#_""Until that day I cursed the angels, those uncaring lights in the sky. They rewarded my scorn with the gift of time, every year of which I've spent in devotion to their names.""£—Torian Sha, soul warden_#",,W,,,,2,,C,,2.012,,,,,,You gain 7 life.,,,,,,,,,,,,,,,,2,,?????,,,,Miséricorde des anges,,Erbarmen des Engels,,Clemenza dell'Angelo,,?????,,Misericórdia de Anjo,,?????????? ??????,,Piedad del ángel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Ant Queen,,Magic 2010,,M10,,191063,,Creature — Insect,,5,,5,,,,{3}{G}{G},,5,,Trevor Claxton,,"#_""Kill the queen first, or we'll be fighting her drones forever. It is not in a queen's nature to have enough servants.""£—Borzard, exterminator captain_#",,G,,,,166,,R,,4.097,,,,,,{1}{G}: Create a 1/1 green Insect creature token.,,,,,,,,,,,,,,,,166,,??,,,,Reine des fourmis,,Ameisenkönigin,,Formica Regina,,????,,Formiga Rainha,,?????????? ????????,,Hormiga reina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Armored Ascension,,Magic 2010,,M10,,193738,,Enchantment — Aura,,,,,,,,{3}{W},,4,,Jesper Ejsing,,"#_""The meadow sprang up beneath me, and I perceived a path from our people's defeat to our highest glory.""_#",,W,,,,3,,U,,3.87,,"£10/1/2009 : This ability counts the number of Plains controlled by Armored Ascension’s controller, not the enchanted creature’s controller (in case they’re different players).£10/1/2009 : This bonus is not fixed; it changes as the number of Plains you control changes.£8/15/2010 : The ability cares about lands with the land type Plains, not necessarily lands named Plains.",,,,Enchant creature£Enchanted creature gets +1/+1 for each Plains you control and has flying.,,,,,,,,,,,,,,,,3,,????,,,,Ascension cuirassée,,Gepanzerter Höhenflug,,Ascensione Corazzata,,????????,,Ascensão Armada,,?????????? ? ????????,,Ascenso acorazado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Assassinate,,Magic 2010,,M10,,193745,,Sorcery,,,,,,,,{2}{B},,3,,Kev Walker,,"#_""This is how wars are won—not with armies of soldiers but with a single knife blade, artfully placed.""£—Yurin, royal assassin_#",,B,,,,84,,C,,2.585,,,,,,Destroy target tapped creature.,,,,,,,,,,,,,,,,84,,??,,,,Meurtre,,Meucheln,,Assassinare,,??,,Assassinar,,????????????? ????????,,Asesinar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Awakener Druid,,Magic 2010,,M10,,189907,,Creature — Human Druid,,1,,1,,,,{2}{G},,3,,Jason Chan,,#_The druids of Mazar treat each seedcone with respect for the warrior it will become._#,,G,,,,167,,U,,3.49,,"£10/1/2009 : Awakener Druid’s ability affects a land with the land type Forest, not necessarily a land with the name Forest.£10/1/2009 : Awakener Druid’s ability is mandatory. When it enters the battlefield, you must target a Forest (if there is one), even if you don’t control that Forest.£10/1/2009 : If Awakener Druid leaves the battlefield before its enters-the-battlefield ability resolves, nothing happens to the targeted Forest when that ability resolves. It won’t become a creature.£10/1/2009 : If the targeted Forest entered the battlefield this turn, it will be affected by “summoning sickness” once it becomes a Treefolk. You won’t be able to attack with it or use its activated abilities that have {T} in the cost (including its mana ability).£10/1/2009 : If Awakener Druid and the Treefolk are dealt lethal damage at the same time, both will be destroyed. However, if Awakener Druid leaves the battlefield before the Treefolk is dealt damage, it will immediately revert to being just a land and thus can’t be dealt damage.",,,,"When Awakener Druid enters the battlefield, target Forest becomes a 4/5 green Treefolk creature for as long as Awakener Druid remains on the battlefield. It's still a land.",,,,,,,,,,,,,,,,167,,?????,,,,Druide éveilleur,,Erweckender Druide,,Druido del Risveglio,,???????,,Druida Despertador,,?????-???????????,,Druida despertador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Ball Lightning,,Magic 2010,,M10,,191393,,Creature — Elemental,,6,,1,,,,{R}{R}{R},,3,,Trevor Claxton,,,,R,,,,125,,R,,4.361,,£2/1/2007 : The creature is sacrificed at the end of every turn in which it is on the battlefield. There is no choice about what turn to sacrifice it.,,,,"Trample #_(This creature can deal excess combat damage to defending player or planeswalker while attacking.)_#£Haste #_(This creature can attack and {T} as soon as it comes under your control.)_#£At the beginning of the end step, sacrifice Ball Lightning.",,,,,,,,,,,,,,,,125,,????,,,,Boule fulgurante,,Kugelblitz,,Fulmine Globulare,,??????????,,Esfera de Raios,,??????? ??????,,Bola de rayos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Baneslayer Angel,,Magic 2010,,M10,,191065,,Creature — Angel,,5,,5,,,,{3}{W}{W},,5,,Greg Staples,,#_Some angels protect the meek and innocent. Others seek out and smite evil wherever it lurks._#,,W,,,,4,,M,,4.103,,"£10/1/2009 : “Protection from Demons and from Dragons” means the following:-- Baneslayer Angel can't be blocked by creatures with the creature type Demon or the creature type Dragon.-- Baneslayer Angel can't be targeted abilities from sources with the creature type Demon or the creature type Dragon, or by spells with either of those types.-- All damage that would be dealt to Baneslayer Angel by sources with the creature type Demon or the creature type Dragon is prevented.-- Baneslayer Angel can't be enchanted by Auras or equipped by artifacts that have somehow gotten the creature type Demon or the creature type Dragon.",,,,"Flying, first strike, lifelink, protection from Demons and from Dragons",,,,,,,,,,,,,,,,4,,????,,,,Ange pourfendeur,,Bannender Engel,,Angelo Flagellatore,,?????,,Anjo Exterminador do Mal,,"?????, ??????????? ???",,Ángel matademonios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Berserkers of Blood Ridge,,Magic 2010,,M10,,191071,,Creature — Human Berserker,,4,,4,,,,{4}{R},,5,,Karl Kopinski,,#_They take a blood oath to die in battle. So far none have failed to fulfill the promise._#,,R,,,,126,,C,,1.316,,"£8/15/2010 : If, during your declare attackers step, Berserkers of Blood Ridge is tapped, is affected by a spell or ability that says it can’t attack, or is affected by “summoning sickness,” then it doesn’t attack. If there’s a cost associated with having Berserkers of Blood Ridge attack, you aren’t forced to pay that cost, so it doesn’t have to attack in that case either.£8/15/2010 : If there are multiple combat phases in a turn, Berserkers of Blood Ridge must attack only in the first one in which it’s able to.",,,,Berserkers of Blood Ridge attacks each turn if able.,,,,,,,,,,,,,,,,126,,??????,,,,Berserkers des Contreforts de Sang,,Berserker aus der Blutklamm,,Berserker di Crinale Sanguinario,,???????,,Amoques das Montanhas Sanguíneas,,???????? ????????? ??????,,Berserkers del Risco Sangriento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Birds of Paradise,,Magic 2010,,M10,,191080,,Creature — Bird,,0,,1,,,,{G},,1,,Marcelo Vignali,,"#_Each feather in its tail is a souvenir of an exotic land, a memory condensed in hue._#",,G,,{W}{U}{B}{R}{G},,168,,R,,4.436,,,,,,Flying£{T}: Add one mana of any color to your mana pool.,,,,,,,,,,,,,,,,168,,???,,,,Oiseaux de paradis,,Paradiesvögel,,Uccelli del Paradiso,,???,,Aves do Paraíso,,??????? ?????,,Aves del paraíso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Knight,,Magic 2010,,M10,,190540,,Creature — Human Knight,,2,,2,,,,{B}{B},,2,,Christopher Moeller,,,,B,,,,85,,U,,4.351,,,,,,"First strike #_(This creature deals combat damage before creatures without first strike.)_#£Protection from white #_(This creature can't be blocked, targeted, dealt damage, or enchanted by anything white.)_#",,,,,,,,,,,,,,,,85,,???,,,,Chevalier noir,,Schwarzer Ritter,,Cavaliere Nero,,???,,Cavaleiro Negro,,?????? ??????,,Caballero negro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Blinding Mage,,Magic 2010,,M10,,190195,,Creature — Human Wizard,,1,,2,,,,{1}{W},,2,,Eric Deschamps,,"#_""I carry the light of truth. Do not pity those it blinds, for they never had eyes to see.""_#",,W,,,,5,,C,,3.067,,,,,,"{W}, {T}: Tap target creature.",,,,,,,,,,,,,,,,5,,????,,,,Mage aveuglant,,Blendender Magier,,Mago Accecante,,???????,,Mago Cegador,,??????????? ???,,Mago cegador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Bog Wraith,,Magic 2010,,M10,,190165,,Creature — Wraith,,3,,3,,,,{3}{B},,4,,Daarken,,"#_She died in this swamp, and so will you._#",,B,,,,86,,U,,2.821,,,,,,Swampwalk #_(This creature can't be blocked as long as defending player controls a Swamp.)_#,,,,,,,,,,,,,,,,86,,????,,,,Apparition des marécages,,Todlose Moorleiche,,Necrospettro delle Paludi,,????,,Aparição do Pântano,,???????? ???????,,Aparición de la ciénaga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Bogardan Hellkite,,Magic 2010,,M10,,191340,,Creature — Dragon,,5,,5,,,,{6}{R}{R},,8,,Scott M. Fischer,,,,R,,,,127,,M,,4.35,,"£10/1/2009 : The number of targets chosen for the enters-the-battlefield ability must be at least 1 and at most 5. You divide the damage as you put the ability on the stack, not as it resolves. Each target must be assigned at least 1 damage.",,,,"Flash£Flying£When Bogardan Hellkite enters the battlefield, it deals 5 damage divided as you choose among any number of target creatures and/or players.",,,,,,,,,,,,,,,,127,,??????,,,,Escouflenfer du Bogardân,,Bogardanischer Höllendrache,,Nibbio Infernale di Bogardan,,???????????,,Dragão Avérneo de Bogardan,,???????????? ????,,Engendro de Bogardan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
Borderland Ranger,,Magic 2010,,M10,,189905,,Creature — Human Scout,,2,,2,,,,{2}{G},,3,,Jesper Ejsing,,"#_""Only fools and bandits use roads.""_#",,G,,,,169,,C,,3.481,,,,,,"When Borderland Ranger enters the battlefield, you may search your library for a basic land card, reveal it, and put it into your hand. If you do, shuffle your library.",,,,,,,,,,,,,,,,169,,?????,,,,Ranger des frontières,,Grenzlandwaldläufer,,Ranger delle Terre di Confine,,???????????,,Patrulheiro de Fronteira,,???????? ? ???????,,Guardabosque fronterizo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
